Model,Dataset,Temperature,Question_UUID,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
deepseek-reasoner,hybrid_reasoning,0.0,train/intermediate_algebra/667.json,math,0.591552734375,0.30615234375,0.50390625
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/2108.json,math,0.7919921875,0.17724609375,0.974609375
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/1314.json,math,0.61126708984375,0.11322021484375,0.7744140625
deepseek-reasoner,hybrid_reasoning,0.0,train/precalculus/241.json,math,0.8656005859375,0.07830810546875,0.9580078125
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/636.json,math,0.6569671630859375,0.040283203125,0.79052734375
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/2790.json,math,0.9475860595703125,0.0164337158203125,0.998046875
deepseek-reasoner,hybrid_reasoning,0.0,test/geometry/808.json,math,0.1742706298828125,0.06781005859375,0.5888671875
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/110.json,math,0.7695846557617188,0.1258544921875,0.94482421875
deepseek-reasoner,hybrid_reasoning,0.0,train/counting_and_probability/563.json,math,0.90264892578125,0.06280517578125,0.97119140625
deepseek-reasoner,hybrid_reasoning,0.0,train/number_theory/998.json,math,0.7918701171875,0.043365478515625,0.88232421875
deepseek-reasoner,hybrid_reasoning,0.0,test/algebra/2259.json,math,0.4637451171875,0.35595703125,0.740234375
deepseek-reasoner,hybrid_reasoning,0.0,test/algebra/1762.json,math,0.8731231689453125,0.1302490234375,0.97119140625
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/2673.json,math,0.9370880126953125,0.05413818359375,0.9365234375
deepseek-reasoner,hybrid_reasoning,0.0,train/number_theory/75.json,math,0.464752197265625,0.033294677734375,0.763671875
deepseek-reasoner,hybrid_reasoning,0.0,test/precalculus/329.json,math,0.3934326171875,0.3173828125,0.822265625
deepseek-reasoner,hybrid_reasoning,0.0,train/geometry/231.json,math,0.15316009521484375,0.45849609375,0.28466796875
deepseek-reasoner,hybrid_reasoning,0.0,test/intermediate_algebra/227.json,math,0.539794921875,0.188232421875,0.96484375
deepseek-reasoner,hybrid_reasoning,0.0,test/counting_and_probability/474.json,math,0.33941650390625,0.2169189453125,0.7607421875
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/12.json,math,0.323883056640625,0.0458984375,0.60400390625
deepseek-reasoner,hybrid_reasoning,0.0,test/counting_and_probability/409.json,math,0.9113311767578125,0.0216827392578125,0.9736328125
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/2751.json,math,0.5447998046875,0.0924072265625,0.708984375
deepseek-reasoner,hybrid_reasoning,0.0,test/algebra/25999.json,math,0.805877685546875,0.040008544921875,0.96484375
deepseek-reasoner,hybrid_reasoning,0.0,train/precalculus/163.json,math,0.845733642578125,0.0465087890625,0.861328125
deepseek-reasoner,hybrid_reasoning,0.0,test/prealgebra/1641.json,math,0.818328857421875,0.0606689453125,0.79052734375
deepseek-reasoner,hybrid_reasoning,0.0,train/precalculus/121.json,math,0.780181884765625,0.045318603515625,0.7490234375
deepseek-reasoner,hybrid_reasoning,0.0,train/number_theory/1054.json,math,0.2964935302734375,0.1478271484375,0.763671875
deepseek-reasoner,hybrid_reasoning,0.0,test/counting_and_probability/323.json,math,0.20146560668945312,0.04730224609375,0.4921875
deepseek-reasoner,hybrid_reasoning,0.0,train/precalculus/465.json,math,0.763519287109375,0.045257568359375,0.62255859375
deepseek-reasoner,hybrid_reasoning,0.0,train/counting_and_probability/332.json,math,0.90655517578125,0.10382080078125,0.9658203125
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/513.json,math,0.91326904296875,0.03436279296875,0.94482421875
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/1996.json,math,0.743408203125,0.084228515625,0.94091796875
deepseek-reasoner,hybrid_reasoning,0.0,train/precalculus/176.json,math,0.8268585205078125,0.039459228515625,0.943359375
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/1492.json,math,0.4140625,0.166015625,0.77978515625
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/1414.json,math,0.90216064453125,0.173095703125,0.94189453125
deepseek-reasoner,hybrid_reasoning,0.0,test/algebra/2694.json,math,0.3045196533203125,0.3251953125,0.4765625
deepseek-reasoner,hybrid_reasoning,0.0,train/geometry/350.json,math,0.887115478515625,0.1143798828125,0.85400390625
deepseek-reasoner,hybrid_reasoning,0.0,test/precalculus/558.json,math,0.353729248046875,0.08367919921875,0.63720703125
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/20.json,math,0.14572906494140625,0.0484619140625,0.71875
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/1821.json,math,0.56610107421875,0.047332763671875,0.91357421875
deepseek-reasoner,hybrid_reasoning,0.0,test/algebra/651.json,math,0.8744964599609375,0.0283050537109375,0.9599609375
deepseek-reasoner,hybrid_reasoning,0.0,test/algebra/10.json,math,0.9410934448242188,0.054473876953125,0.98486328125
deepseek-reasoner,hybrid_reasoning,0.0,test/intermediate_algebra/1737.json,math,0.71771240234375,0.07366943359375,0.94482421875
deepseek-reasoner,hybrid_reasoning,0.0,train/intermediate_algebra/1292.json,math,0.750335693359375,0.37109375,0.449462890625
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/469.json,math,0.80615234375,0.39404296875,0.90869140625
deepseek-reasoner,hybrid_reasoning,0.0,train/precalculus/653.json,math,0.79034423828125,0.12451171875,0.6259765625
deepseek-reasoner,hybrid_reasoning,0.0,test/intermediate_algebra/149.json,math,0.62335205078125,0.04833984375,0.87255859375
deepseek-reasoner,hybrid_reasoning,0.0,train/intermediate_algebra/432.json,math,0.5554046630859375,0.08795166015625,0.85986328125
deepseek-reasoner,hybrid_reasoning,0.0,test/prealgebra/1792.json,math,0.576904296875,0.25244140625,0.9736328125
deepseek-reasoner,hybrid_reasoning,0.0,train/intermediate_algebra/511.json,math,0.764892578125,0.2188720703125,0.615234375
deepseek-reasoner,hybrid_reasoning,0.0,test/precalculus/399.json,math,0.95892333984375,0.046173095703125,0.5390625
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/16.json,math,0.965972900390625,0.011383056640625,0.974609375
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/467.json,math,0.8651885986328125,0.0302276611328125,0.8671875
deepseek-reasoner,hybrid_reasoning,0.0,train/geometry/378.json,math,0.9318695068359375,0.03509521484375,0.94873046875
deepseek-reasoner,hybrid_reasoning,0.0,train/precalculus/1308.json,math,0.38433837890625,0.1214599609375,0.90576171875
deepseek-reasoner,hybrid_reasoning,0.0,test/geometry/706.json,math,0.21234130859375,0.55712890625,0.265869140625
deepseek-reasoner,hybrid_reasoning,0.0,test/precalculus/478.json,math,0.68914794921875,0.09393310546875,0.7958984375
deepseek-reasoner,hybrid_reasoning,0.0,test/counting_and_probability/389.json,math,0.8338623046875,0.0311279296875,0.87255859375
deepseek-reasoner,hybrid_reasoning,0.0,test/number_theory/710.json,math,0.920013427734375,0.046661376953125,0.9873046875
deepseek-reasoner,hybrid_reasoning,0.0,test/precalculus/383.json,math,0.781341552734375,0.0924072265625,0.57373046875
deepseek-reasoner,hybrid_reasoning,0.0,test/number_theory/695.json,math,0.9058837890625,0.048431396484375,0.99365234375
deepseek-reasoner,hybrid_reasoning,0.0,test/prealgebra/1134.json,math,0.83465576171875,0.198974609375,0.984375
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/381.json,math,0.420562744140625,0.04315185546875,0.64404296875
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/377.json,math,0.932708740234375,0.044586181640625,0.99072265625
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/1176.json,math,0.9228057861328125,0.0394287109375,0.9873046875
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/982.json,math,0.7076416015625,0.1568603515625,0.89892578125
deepseek-reasoner,hybrid_reasoning,0.0,test/number_theory/1093.json,math,0.33642578125,0.0595703125,0.79833984375
deepseek-reasoner,hybrid_reasoning,0.0,train/intermediate_algebra/1584.json,math,0.6607666015625,0.142578125,0.83349609375
deepseek-reasoner,hybrid_reasoning,0.0,test/geometry/628.json,math,0.4217529296875,0.266845703125,0.9306640625
deepseek-reasoner,hybrid_reasoning,0.0,test/intermediate_algebra/1717.json,math,0.6572265625,0.172607421875,0.58154296875
deepseek-reasoner,hybrid_reasoning,0.0,test/intermediate_algebra/492.json,math,0.90289306640625,0.043365478515625,0.9853515625
deepseek-reasoner,hybrid_reasoning,0.0,test/algebra/22.json,math,0.767303466796875,0.042694091796875,0.98193359375
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/1622.json,math,0.92279052734375,0.03460693359375,0.98486328125
deepseek-reasoner,hybrid_reasoning,0.0,test/intermediate_algebra/342.json,math,0.479400634765625,0.206787109375,0.307373046875
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/1383.json,math,0.32391357421875,0.044708251953125,0.80810546875
deepseek-reasoner,hybrid_reasoning,0.0,test/algebra/842.json,math,0.87127685546875,0.1724853515625,0.95458984375
deepseek-reasoner,hybrid_reasoning,0.0,train/geometry/470.json,math,0.29547119140625,0.333740234375,0.45703125
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/655.json,math,0.6823883056640625,0.032928466796875,0.8974609375
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/1718.json,math,0.65185546875,0.253662109375,0.90966796875
deepseek-reasoner,hybrid_reasoning,0.0,test/number_theory/817.json,math,0.324554443359375,0.180908203125,0.57373046875
deepseek-reasoner,hybrid_reasoning,0.0,train/counting_and_probability/627.json,math,0.2267608642578125,0.03741455078125,0.5927734375
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/604.json,math,0.760528564453125,0.326171875,0.294189453125
deepseek-reasoner,hybrid_reasoning,0.0,test/algebra/1255.json,math,0.617889404296875,0.07220458984375,0.96826171875
deepseek-reasoner,hybrid_reasoning,0.0,train/prealgebra/1414.json,math,0.14453125,0.090576171875,0.77197265625
deepseek-reasoner,hybrid_reasoning,0.0,train/precalculus/278.json,math,0.8809432983398438,0.021087646484375,0.921875
deepseek-reasoner,hybrid_reasoning,0.0,train/counting_and_probability/1100.json,math,0.832733154296875,0.042694091796875,0.9072265625
deepseek-reasoner,hybrid_reasoning,0.0,test/intermediate_algebra/1326.json,math,0.3075103759765625,0.4326171875,0.61865234375
deepseek-reasoner,hybrid_reasoning,0.0,train/precalculus/453.json,math,0.770263671875,0.293701171875,0.9150390625
deepseek-reasoner,hybrid_reasoning,0.0,train/algebra/2645.json,math,0.08984756469726562,0.02545166015625,0.615234375
