Model,Dataset,Temperature,Question_UUID,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
deepseek-chat,hybrid_reasoning,0.0,train/intermediate_algebra/667.json,math,0.3580322265625,0.431396484375,0.8671875
deepseek-chat,hybrid_reasoning,0.0,train/algebra/2108.json,math,0.467803955078125,0.1510009765625,0.97900390625
deepseek-chat,hybrid_reasoning,0.0,train/algebra/1314.json,math,0.35552978515625,0.3359375,0.2568359375
deepseek-chat,hybrid_reasoning,0.0,train/precalculus/241.json,math,0.2972412109375,0.10791015625,0.91943359375
deepseek-chat,hybrid_reasoning,0.0,train/prealgebra/636.json,math,0.49310302734375,0.10498046875,0.92529296875
deepseek-chat,hybrid_reasoning,0.0,train/algebra/2790.json,math,0.508056640625,0.103759765625,0.962890625
deepseek-chat,hybrid_reasoning,0.0,test/geometry/808.json,math,0.1790771484375,0.290771484375,0.53515625
deepseek-chat,hybrid_reasoning,0.0,train/prealgebra/110.json,math,0.5107421875,0.315673828125,0.74609375
deepseek-chat,hybrid_reasoning,0.0,train/counting_and_probability/563.json,math,0.64776611328125,0.302978515625,0.921875
deepseek-chat,hybrid_reasoning,0.0,train/number_theory/998.json,math,0.653564453125,0.282470703125,0.91748046875
deepseek-chat,hybrid_reasoning,0.0,test/algebra/2259.json,math,0.28131103515625,0.3671875,0.60009765625
deepseek-chat,hybrid_reasoning,0.0,test/algebra/1762.json,math,0.559814453125,0.11187744140625,0.974609375
deepseek-chat,hybrid_reasoning,0.0,train/algebra/2673.json,math,0.13714599609375,0.1785888671875,0.900390625
deepseek-chat,hybrid_reasoning,0.0,train/number_theory/75.json,math,0.24359130859375,0.240478515625,0.662109375
deepseek-chat,hybrid_reasoning,0.0,test/precalculus/329.json,math,0.369964599609375,0.309814453125,0.61865234375
deepseek-chat,hybrid_reasoning,0.0,train/geometry/231.json,math,0.21575927734375,0.1387939453125,0.52734375
deepseek-chat,hybrid_reasoning,0.0,test/intermediate_algebra/227.json,math,0.379791259765625,0.1612548828125,0.9833984375
deepseek-chat,hybrid_reasoning,0.0,test/counting_and_probability/474.json,math,0.49017333984375,0.139404296875,0.87890625
deepseek-chat,hybrid_reasoning,0.0,train/prealgebra/12.json,math,0.1654052734375,0.088134765625,0.615234375
deepseek-chat,hybrid_reasoning,0.0,test/counting_and_probability/409.json,math,0.15056610107421875,0.064208984375,0.91357421875
deepseek-chat,hybrid_reasoning,0.0,train/algebra/2751.json,math,0.31768798828125,0.181396484375,0.85986328125
deepseek-chat,hybrid_reasoning,0.0,test/algebra/25999.json,math,0.5050048828125,0.17919921875,0.97021484375
deepseek-chat,hybrid_reasoning,0.0,train/precalculus/163.json,math,0.48040771484375,0.352294921875,0.43408203125
deepseek-chat,hybrid_reasoning,0.0,test/prealgebra/1641.json,math,0.453948974609375,0.060882568359375,0.84375
deepseek-chat,hybrid_reasoning,0.0,train/precalculus/121.json,math,0.548187255859375,0.180419921875,0.82421875
deepseek-chat,hybrid_reasoning,0.0,train/number_theory/1054.json,math,0.5333251953125,0.1446533203125,0.77978515625
deepseek-chat,hybrid_reasoning,0.0,test/counting_and_probability/323.json,math,0.0946807861328125,0.263671875,0.7373046875
deepseek-chat,hybrid_reasoning,0.0,train/precalculus/465.json,math,0.559814453125,0.2177734375,0.80810546875
deepseek-chat,hybrid_reasoning,0.0,train/counting_and_probability/332.json,math,0.49456787109375,0.1531982421875,0.95458984375
deepseek-chat,hybrid_reasoning,0.0,train/prealgebra/513.json,math,0.40093994140625,0.06866455078125,0.95654296875
deepseek-chat,hybrid_reasoning,0.0,train/prealgebra/1996.json,math,0.4600830078125,0.33984375,0.6259765625
deepseek-chat,hybrid_reasoning,0.0,train/precalculus/176.json,math,0.460662841796875,0.1986083984375,0.9208984375
deepseek-chat,hybrid_reasoning,0.0,train/algebra/1492.json,math,0.434173583984375,0.2034912109375,0.97900390625
deepseek-chat,hybrid_reasoning,0.0,train/algebra/1414.json,math,0.33319091796875,0.103759765625,0.515625
deepseek-chat,hybrid_reasoning,0.0,test/algebra/2694.json,math,0.39239501953125,0.4443359375,0.658203125
