Model,Dataset,Temperature,Question_UUID,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-30B-A3B,aime,0.1,0,aime,0.931549072265625,0.428466796875,0.048858642578125
Qwen3-30B-A3B,aime,0.1,1,aime,0.832305908203125,0.416015625,0.16455078125
Qwen3-30B-A3B,aime,0.1,2,aime,0.827484130859375,0.5712890625,0.0850830078125
Qwen3-30B-A3B,aime,0.1,3,aime,0.831298828125,0.406982421875,0.2017822265625
Qwen3-30B-A3B,aime,0.1,4,aime,0.7659912109375,0.368408203125,0.10089111328125
Qwen3-30B-A3B,aime,0.1,5,aime,0.824615478515625,0.7548828125,0.07476806640625
Qwen3-30B-A3B,aime,0.1,6,aime,0.8331298828125,0.62890625,0.2254638671875
Qwen3-30B-A3B,aime,0.1,7,aime,0.785888671875,0.380859375,0.259765625
Qwen3-30B-A3B,aime,0.1,8,aime,0.71435546875,0.309326171875,0.07366943359375
Qwen3-30B-A3B,aime,0.1,9,aime,0.78936767578125,0.59521484375,0.16455078125
Qwen3-30B-A3B,aime,0.1,10,aime,0.614501953125,0.468017578125,0.204345703125
Qwen3-30B-A3B,aime,0.1,11,aime,0.4620361328125,0.81005859375,0.0994873046875
Qwen3-30B-A3B,aime,0.1,12,aime,0.86181640625,0.3994140625,0.120849609375
Qwen3-30B-A3B,aime,0.1,13,aime,0.8118209838867188,0.6552734375,0.07366943359375
Qwen3-30B-A3B,aime,0.1,14,aime,0.821044921875,0.51611328125,0.051849365234375
Qwen3-30B-A3B,aime,0.1,15,aime,0.9046630859375,0.52197265625,0.134765625
Qwen3-30B-A3B,aime,0.1,16,aime,0.7628326416015625,0.56640625,0.1895751953125
Qwen3-30B-A3B,aime,0.1,17,aime,0.74920654296875,0.5224609375,0.090087890625
Qwen3-30B-A3B,aime,0.1,18,aime,0.867431640625,0.54833984375,0.090087890625
Qwen3-30B-A3B,aime,0.1,19,aime,0.58843994140625,0.5615234375,0.10821533203125
Qwen3-30B-A3B,aime,0.1,20,aime,0.83343505859375,0.78857421875,0.07476806640625
