Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
deepseek-reasoner,hybrid_reasoning,0.0,0.579960454305013,0.13438870747884116,0.71084228515625
deepseek-reasoner,hybrid_reasoning,0.1,0.5817205111185709,0.13561047871907553,0.7142873128255208
deepseek-reasoner,hybrid_reasoning,0.2,0.5894795735677083,0.1290367889404297,0.7131990559895833
deepseek-reasoner,hybrid_reasoning,0.3,0.5654339663187663,0.13940218607584634,0.7219527180989583
deepseek-reasoner,hybrid_reasoning,0.4,0.5872975158691406,0.13672459920247396,0.7129286702473958
deepseek-reasoner,hybrid_reasoning,0.5,0.5860912132263184,0.1330023701985677,0.7128719075520833
deepseek-reasoner,hybrid_reasoning,0.6,0.5881231117248535,0.13056170145670573,0.7276804606119792
deepseek-reasoner,hybrid_reasoning,0.7,0.5901434516906738,0.13004669189453125,0.7258717854817708
deepseek-reasoner,hybrid_reasoning,0.8,0.5803459739685058,0.1315875244140625,0.7267795817057292
deepseek-reasoner,hybrid_reasoning,0.9,0.5779764366149902,0.13995508829752604,0.723106689453125
deepseek-reasoner,hybrid_reasoning,1.0,0.5791828918457032,0.13388399759928385,0.7194899495442708
deepseek-reasoner,hybrid_reasoning,1.1,0.5924251927625412,0.13508334575883493,0.7233849851877098
