Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Abel-7B-002,hybrid_reasoning,0.0,math,0.2501097412109375,0.16047354125976562,0.527764892578125
Abel-7B-002,hybrid_reasoning,0.0,mr-gsm8k,0.39011627197265625,0.12945220947265626,0.60433837890625
Abel-7B-002,hybrid_reasoning,0.1,math,0.24740704345703124,0.16265402221679687,0.5042958984375
Abel-7B-002,hybrid_reasoning,0.1,mr-gsm8k,0.3795246887207031,0.12980377197265625,0.591767578125
Abel-7B-002,hybrid_reasoning,0.2,math,0.24698568725585937,0.15879959106445313,0.50497119140625
Abel-7B-002,hybrid_reasoning,0.2,mr-gsm8k,0.38492527008056643,0.13488006591796875,0.578143310546875
Abel-7B-002,hybrid_reasoning,0.3,math,0.25422254943847655,0.16412677001953124,0.5064783935546875
Abel-7B-002,hybrid_reasoning,0.3,mr-gsm8k,0.391391487121582,0.1419970703125,0.57251708984375
Abel-7B-002,hybrid_reasoning,0.4,math,0.2537932281494141,0.16297650146484374,0.517875
Abel-7B-002,hybrid_reasoning,0.4,mr-gsm8k,0.426397705078125,0.128826904296875,0.6226507568359375
Abel-7B-002,hybrid_reasoning,0.5,math,0.24397626495361327,0.157472900390625,0.5186893310546875
Abel-7B-002,hybrid_reasoning,0.5,mr-gsm8k,0.39375877380371094,0.13805572509765626,0.631444091796875
Abel-7B-002,hybrid_reasoning,0.6,math,0.24545123291015625,0.15504193115234374,0.5130994262695312
Abel-7B-002,hybrid_reasoning,0.6,mr-gsm8k,0.380511474609375,0.13387420654296875,0.5702203369140625
Abel-7B-002,hybrid_reasoning,0.7,math,0.2396030731201172,0.1662703857421875,0.50743212890625
Abel-7B-002,hybrid_reasoning,0.7,mr-gsm8k,0.4136699676513672,0.13542633056640624,0.6333087158203125
Abel-7B-002,hybrid_reasoning,0.8,math,0.24748683166503907,0.16737042236328126,0.5145684814453125
Abel-7B-002,hybrid_reasoning,0.8,mr-gsm8k,0.3944316101074219,0.1262225341796875,0.5980184936523437
Abel-7B-002,hybrid_reasoning,0.9,math,0.23754598236083985,0.15921868896484376,0.4977914428710937
Abel-7B-002,hybrid_reasoning,0.9,mr-gsm8k,0.4167645263671875,0.12525177001953125,0.610224609375
Abel-7B-002,hybrid_reasoning,1.0,math,0.2321468811035156,0.15368475341796875,0.496900146484375
Abel-7B-002,hybrid_reasoning,1.0,mr-gsm8k,0.40472991943359377,0.1277825927734375,0.67817138671875
Abel-7B-002,hybrid_reasoning,1.1,math,0.21593914031982422,0.15740716552734374,0.4585523681640625
Abel-7B-002,hybrid_reasoning,1.1,mr-gsm8k,0.3736913299560547,0.135013427734375,0.5649600219726563
Abel-7B-002,hybrid_reasoning,1.2,math,0.19931904792785646,0.1494938507080078,0.44037432861328124
Abel-7B-002,hybrid_reasoning,1.2,mr-gsm8k,0.38590576171875,0.118707275390625,0.5821560668945313
Abel-7B-002,hybrid_reasoning,1.3,math,0.19539891052246094,0.15485882568359374,0.4319172515869141
Abel-7B-002,hybrid_reasoning,1.3,mr-gsm8k,0.40652886215521367,0.12169943050462373,0.5875213000239158
Abel-7B-002,hybrid_reasoning,1.4,math,0.18271596970096712,0.14764044361729775,0.39640709661668344
Abel-7B-002,hybrid_reasoning,1.4,mr-gsm8k,0.332181396484375,0.13876617431640625,0.5479229736328125
Abel-7B-002,hybrid_reasoning,1.5,math,0.17166582743326822,0.15438729404924384,0.37047224542702056
Abel-7B-002,hybrid_reasoning,1.5,mr-gsm8k,0.31615753173828126,0.135970458984375,0.4773455810546875
Abel-7B-002,hybrid_reasoning,1.6,math,0.17526202220993348,0.15257670697438191,0.33760505890750503
Abel-7B-002,hybrid_reasoning,1.6,mr-gsm8k,0.2972517395019531,0.1474713134765625,0.405313720703125
