Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Abel-7B-002,mr-gsm8k,0.1,0.7492906926516444,0.1908949925489723,0.6187381896972656
Abel-7B-002,mr-gsm8k,0.2,0.7461204976933077,0.1890749914273619,0.6250238342285156
Abel-7B-002,mr-gsm8k,0.4,0.7520733897555619,0.1955887193493545,0.6203211975097657
Abel-7B-002,mr-gsm8k,0.5,0.7307308042765944,0.1912334898225963,0.6179964294433594
Abel-7B-002,mr-gsm8k,0.7,0.7514218610753305,0.1875144000165164,0.6258123779296875
Abel-7B-002,mr-gsm8k,0.9,0.7284861228642985,0.1833913746876642,0.6180882873535156
Abel-7B-002,mr-gsm8k,1.1,0.702336082759779,0.1799498818293214,0.5933494262695312
Abel-7B-002,mr-gsm8k,1.2,0.6918322441014462,0.181312636770308,0.572323486328125
Abel-7B-002,mr-gsm8k,1.4,0.6153416488882348,0.179486765535567,0.5229834363551321
Abel-7B-002,mr-gsm8k,1.5,0.5712659377684044,0.1738726562234332,0.496570747696565
Abel-7B-002,mr-gsm8k,1.7,0.4556110355487925,0.1830859048103536,0.4006054711962988
Abel-7B-002,mr-gsm8k,1.9,0.2905649961289993,0.1961774565541828,0.2564886849171199
Abel-7B-002,mr-gsm8k,0.0,0.7373148432187736,0.1882120196744799,0.6178555297851562
Abel-7B-002,mr-gsm8k,0.3,0.751960563770961,0.1922291044481098,0.6113447265625
Abel-7B-002,mr-gsm8k,0.6,0.7471911705387756,0.1895846264474093,0.6323193969726563
Abel-7B-002,mr-gsm8k,0.8,0.7411767659476027,0.1780244865603745,0.613337875366211
Abel-7B-002,mr-gsm8k,1.0,0.7240349729908631,0.1823333793249912,0.6044866027832031
Abel-7B-002,mr-gsm8k,1.3,0.6758424254520796,0.1857390066063962,0.5643895874023438
Abel-7B-002,mr-gsm8k,1.6,0.5466352058351039,0.1694704467672854,0.4756806640625
Abel-7B-002,mr-gsm8k,1.8,0.3642046414985616,0.1859405415068929,0.308686699665768
Abel-7B-002,mr-gsm8k,2.0,0.2445543712985062,0.2054947948821593,0.2324085197218467
