Model,Dataset,Temperature,Question_UUID,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
gpt-4o-mini,hybrid_reasoning,0.0,train/intermediate_algebra/667.json,math,0.5159725435078144,0.22930724918842316,0.896484375
gpt-4o-mini,hybrid_reasoning,0.0,train/algebra/2108.json,math,0.934070959687233,0.0990145355463028,0.9833984375
gpt-4o-mini,hybrid_reasoning,0.0,train/algebra/1314.json,math,0.7957634776830673,0.19852961599826813,0.72802734375
gpt-4o-mini,hybrid_reasoning,0.0,train/precalculus/241.json,math,0.6263646818697453,0.08692687749862671,0.9345703125
gpt-4o-mini,hybrid_reasoning,0.0,train/prealgebra/636.json,math,0.8155766241252422,0.10757935792207718,0.96533203125
gpt-4o-mini,hybrid_reasoning,0.0,train/algebra/2790.json,math,0.7254850268363953,0.1988249272108078,0.96875
gpt-4o-mini,hybrid_reasoning,0.0,test/geometry/808.json,math,0.336753711104393,0.14292281866073608,0.453369140625
gpt-4o-mini,hybrid_reasoning,0.0,train/prealgebra/110.json,math,0.7828755080699921,0.15323024988174438,0.9326171875
gpt-4o-mini,hybrid_reasoning,0.0,train/counting_and_probability/563.json,math,0.8431880995631218,0.22049930691719055,0.93701171875
gpt-4o-mini,hybrid_reasoning,0.0,train/number_theory/998.json,math,0.7238631322979927,0.11242714524269104,0.83984375
gpt-4o-mini,hybrid_reasoning,0.0,test/algebra/2259.json,math,0.7939365804195404,0.2127709686756134,0.418701171875
gpt-4o-mini,hybrid_reasoning,0.0,test/algebra/1762.json,math,0.7710830122232437,0.22009405493736267,0.931640625
gpt-4o-mini,hybrid_reasoning,0.0,train/algebra/2673.json,math,0.7119002044200897,0.20080922544002533,0.92431640625
gpt-4o-mini,hybrid_reasoning,0.0,train/number_theory/75.json,math,0.7426606006920338,0.19111427664756775,0.7548828125
gpt-4o-mini,hybrid_reasoning,0.0,test/precalculus/329.json,math,0.5705956965684891,0.2266852855682373,0.607421875
gpt-4o-mini,hybrid_reasoning,0.0,train/geometry/231.json,math,0.2697125906124711,0.15143419802188873,0.449462890625
gpt-4o-mini,hybrid_reasoning,0.0,test/intermediate_algebra/227.json,math,0.8419022671878338,0.11460906267166138,0.96435546875
gpt-4o-mini,hybrid_reasoning,0.0,test/counting_and_probability/474.json,math,0.27126849442720413,0.11855094879865646,0.71240234375
gpt-4o-mini,hybrid_reasoning,0.0,train/prealgebra/12.json,math,0.39771469309926033,0.13534651696681976,0.70263671875
gpt-4o-mini,hybrid_reasoning,0.0,test/counting_and_probability/409.json,math,0.9275239557027817,0.06335991621017456,0.9609375
gpt-4o-mini,hybrid_reasoning,0.0,train/algebra/2751.json,math,0.8198102787137032,0.12710653245449066,0.8740234375
gpt-4o-mini,hybrid_reasoning,0.0,test/algebra/25999.json,math,0.7651505544781685,0.19554361701011658,0.9208984375
gpt-4o-mini,hybrid_reasoning,0.0,train/precalculus/163.json,math,0.8031496405601501,0.2939426898956299,0.7958984375
gpt-4o-mini,hybrid_reasoning,0.0,test/prealgebra/1641.json,math,0.6201807260513306,0.10618356615304947,0.7548828125
gpt-4o-mini,hybrid_reasoning,0.0,train/precalculus/121.json,math,0.39693789929151535,0.18087247014045715,0.5
gpt-4o-mini,hybrid_reasoning,0.0,train/number_theory/1054.json,math,0.31592222675681114,0.15908466279506683,0.79052734375
gpt-4o-mini,hybrid_reasoning,0.0,test/counting_and_probability/323.json,math,0.7013878226280212,0.18264523148536682,0.68603515625
gpt-4o-mini,hybrid_reasoning,0.0,train/precalculus/465.json,math,0.7999380454421043,0.1086798831820488,0.7431640625
gpt-4o-mini,hybrid_reasoning,0.0,train/counting_and_probability/332.json,math,0.8532767444849014,0.2442702203989029,0.943359375
gpt-4o-mini,hybrid_reasoning,0.0,train/prealgebra/513.json,math,0.7460086271166801,0.16631004214286804,0.87255859375
gpt-4o-mini,hybrid_reasoning,0.0,train/prealgebra/1996.json,math,0.4748419187963009,0.271099328994751,0.66552734375
gpt-4o-mini,hybrid_reasoning,0.0,train/precalculus/176.json,math,0.7033844292163849,0.1918403059244156,0.92626953125
gpt-4o-mini,hybrid_reasoning,0.0,train/algebra/1492.json,math,0.676241084933281,0.24457894265651703,0.9365234375
gpt-4o-mini,hybrid_reasoning,0.0,train/algebra/1414.json,math,0.8214288279414177,0.10521583259105682,0.90869140625
gpt-4o-mini,hybrid_reasoning,0.0,test/algebra/2694.json,math,0.6868522763252258,0.0965786725282669,0.63720703125
gpt-4o-mini,hybrid_reasoning,0.0,train/geometry/350.json,math,0.6538781672716141,0.3720158636569977,0.76904296875
