Model,Dataset,Temperature,Question_UUID,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-14B,aime,0.1,0,aime,0.2288818359375,0.331298828125,0.175537109375
Qwen3-14B,aime,0.1,1,aime,0.46533203125,0.44189453125,0.338134765625
Qwen3-14B,aime,0.1,2,aime,0.37841796875,0.55029296875,0.07696533203125
Qwen3-14B,aime,0.1,3,aime,0.283905029296875,0.428466796875,0.43408203125
Qwen3-14B,aime,0.1,4,aime,0.27685546875,0.615234375,0.115966796875
Qwen3-14B,aime,0.1,5,aime,0.3199462890625,0.51416015625,0.09136962890625
Qwen3-14B,aime,0.1,6,aime,0.286376953125,0.482666015625,0.1143798828125
Qwen3-14B,aime,0.1,7,aime,0.18511962890625,0.492919921875,0.275146484375
Qwen3-14B,aime,0.1,8,aime,0.09832763671875,0.29833984375,0.2120361328125
Qwen3-14B,aime,0.1,9,aime,0.30694580078125,0.6181640625,0.1365966796875
Qwen3-14B,aime,0.1,10,aime,0.2943115234375,0.411865234375,0.373779296875
Qwen3-14B,aime,0.1,11,aime,0.179412841796875,0.318603515625,0.303955078125
Qwen3-14B,aime,0.1,12,aime,0.2200927734375,0.62548828125,0.1143798828125
Qwen3-14B,aime,0.1,13,aime,0.229736328125,0.5908203125,0.07696533203125
Qwen3-14B,aime,0.1,14,aime,0.27392578125,0.61376953125,0.106689453125
Qwen3-14B,aime,0.1,15,aime,0.2010345458984375,0.3662109375,0.34521484375
Qwen3-14B,aime,0.1,16,aime,0.1378173828125,0.451171875,0.31396484375
Qwen3-14B,aime,0.1,17,aime,0.16888427734375,0.5517578125,0.07806396484375
Qwen3-14B,aime,0.1,18,aime,0.237579345703125,0.50390625,0.102294921875
Qwen3-14B,aime,0.1,19,aime,0.20684814453125,0.498046875,0.36669921875
Qwen3-14B,aime,0.1,20,aime,0.30377197265625,0.420654296875,0.09808349609375
Qwen3-14B,aime,0.1,21,aime,0.2042236328125,0.44775390625,0.307373046875
Qwen3-14B,aime,0.1,22,aime,0.12872314453125,0.438232421875,0.1710205078125
Qwen3-14B,aime,0.1,23,aime,0.282745361328125,0.412841796875,0.37744140625
Qwen3-14B,aime,0.1,24,aime,0.12493896484375,0.4716796875,0.39599609375
Qwen3-14B,aime,0.1,25,aime,0.25018310546875,0.46826171875,0.1778564453125
Qwen3-14B,aime,0.1,26,aime,0.299896240234375,0.48681640625,0.484375
Qwen3-14B,aime,0.1,27,aime,0.20233154296875,0.492431640625,0.388671875
Qwen3-14B,aime,0.1,28,aime,0.562744140625,0.480712890625,0.12939453125
Qwen3-14B,aime,0.1,29,aime,0.23797607421875,0.6123046875,0.33447265625
Qwen3-14B,aime,0.1,30,aime,0.394287109375,0.60400390625,0.0792236328125
Qwen3-14B,aime,0.1,31,aime,0.570068359375,0.49658203125,0.23095703125
Qwen3-14B,aime,0.1,32,aime,0.1763916015625,0.4599609375,0.05108642578125
Qwen3-14B,aime,0.1,33,aime,0.290283203125,0.59033203125,0.1480712890625
Qwen3-14B,aime,0.1,34,aime,0.156829833984375,0.505859375,0.1480712890625
Qwen3-14B,aime,0.1,35,aime,0.35711669921875,0.47705078125,0.2393798828125
Qwen3-14B,aime,0.1,36,aime,0.23626708984375,0.546875,0.1561279296875
Qwen3-14B,aime,0.1,37,aime,0.319091796875,0.471435546875,0.287841796875
Qwen3-14B,aime,0.1,38,aime,0.20904541015625,0.3388671875,0.1993408203125
Qwen3-14B,aime,0.1,39,aime,0.221221923828125,0.50439453125,0.09136962890625
Qwen3-14B,aime,0.1,40,aime,0.274658203125,0.62255859375,0.0850830078125
Qwen3-14B,aime,0.1,41,aime,0.3043212890625,0.466552734375,0.26904296875
Qwen3-14B,aime,0.1,42,aime,0.38397216796875,0.260986328125,0.338134765625
Qwen3-14B,aime,0.1,43,aime,0.183013916015625,0.468505859375,0.0592041015625
Qwen3-14B,aime,0.1,44,aime,0.0,0.0,0.640625
Qwen3-14B,aime,0.1,45,aime,0.385406494140625,0.40380859375,0.6298828125
Qwen3-14B,aime,0.1,46,aime,0.1571044921875,0.43212890625,0.51953125
Qwen3-14B,aime,0.1,47,aime,0.5328369140625,0.55615234375,0.048858642578125
Qwen3-14B,aime,0.1,48,aime,0.200592041015625,0.68798828125,0.115966796875
Qwen3-14B,aime,0.1,49,aime,0.165557861328125,0.67333984375,0.06658935546875
Qwen3-14B,aime,0.1,50,aime,0.3983154296875,0.525390625,0.1143798828125
Qwen3-14B,aime,0.1,51,aime,0.43109130859375,0.483154296875,0.1143798828125
Qwen3-14B,aime,0.1,52,aime,0.35516357421875,0.380615234375,0.06951904296875
Qwen3-14B,aime,0.1,53,aime,0.1572265625,0.515625,0.10821533203125
Qwen3-14B,aime,0.1,54,aime,0.162322998046875,0.361083984375,0.17333984375
Qwen3-14B,aime,0.1,55,aime,0.24737548828125,0.529296875,0.1800537109375
Qwen3-14B,aime,0.1,56,aime,0.3258056640625,0.377197265625,0.219970703125
Qwen3-14B,aime,0.1,57,aime,0.3841552734375,0.60791015625,0.06097412109375
Qwen3-14B,aime,0.1,58,aime,0.168365478515625,0.5556640625,0.32763671875
Qwen3-14B,aime,0.1,59,aime,0.3511962890625,0.62841796875,0.10968017578125
Qwen3-14B,aime,0.1,60,aime,0.4722900390625,0.421875,0.57373046875
Qwen3-14B,aime,0.1,61,aime,0.245849609375,0.5068359375,0.2017822265625
Qwen3-14B,aime,0.1,62,aime,0.37646484375,0.437744140625,0.11126708984375
Qwen3-14B,aime,0.1,63,aime,0.419677734375,0.52978515625,0.32763671875
Qwen3-14B,aime,0.1,64,aime,0.2017822265625,0.48046875,0.48828125
Qwen3-14B,aime,0.1,65,aime,0.228851318359375,0.4580078125,0.2337646484375
Qwen3-14B,aime,0.1,66,aime,0.149261474609375,0.458251953125,0.307373046875
Qwen3-14B,aime,0.1,67,aime,0.273681640625,0.481201171875,0.381103515625
Qwen3-14B,aime,0.1,68,aime,0.348388671875,0.50634765625,0.3173828125
